Nº;Nome do Arquivo;Total de Aparelhos (32.015);Total de Aparelhos (32.027);Diferença;Valor Total R$
1;ADM 0800100_0733_2025 de 30_09_2025.PDF;13;13;+0;12275.23
2;ADM 0800100_0734_2025 de 30_09_2025.PDF;6879;6879;+0;6495486.89
3;ADM 0800100_0740_2025 de 30_09_2025.PDF;9;9;+0;8498.24
4;ADM 0800100_0741_2025 de 30_09_2025.PDF;19;19;+0;17940.73
5;ADM 0800100_0742_2025 de 30_09_2025.PDF;225;225;+0;212455.96
6;ADM 0800100_0743_2025 de 30_09_2025.PDF;912;909;-3;858322.08
7;ADM 0800100_0744_2025 de 30_09_2025.PDF;3457;3458;+1;3265212.05
8;ADM 0800100_0735_2025 de 30_09_2025.PDF;3804;3816;+12;3603253.09
9;ADM 0800100_0736_2025 de 30_09_2025.PDF;1873;1873;+0;1768577.84
10;ADM 0800100_0737_2025 de 30_09_2025.PDF;616;616;+0;581657.21
11;ADM 0800100_0738_2025 de 30_09_2025.PDF;442;444;+2;419246.43
12;ADM 0800100_0739_2025 de 30_09_2025.PDF;3708;3708;+0;3501274.22
13;ADM 0800100_0745_2025 de 30_09_2025.PDF;3390;3390;+0;3201003.13
14;ADM 0800100_0746_2025 de 30_09_2025.PDF;2544;2544;+0;2402168.72
15;ADM 0800100_0747_2025 de 30092025.PDF;4124;4124;+0;3894081.69
Total;;32015;32027;+12;30241453.50
